03:15:53.558420500,33.0434760
03:15:53.558733000,34.7826080
03:15:53.559045500,35.6521720
03:15:53.559358000,36.5217400
03:15:53.559670500,36.0869560
03:15:53.559983000,32.6086920
03:15:53.560295500,31.3043480
03:15:53.560608000,29.5652180
03:15:53.560920500,26.5217380
03:15:53.561233000,23.9130420
03:15:53.561545500,21.3043460
03:15:53.561858000,20.0000000
03:15:53.562170500,16.9565200
03:15:53.562483000,15.6521740
03:15:53.562795500,13.0434780
03:15:53.563108000,10.4347830
03:15:53.563420500,6.9565215
03:15:53.563733000,4.3478260
03:15:53.564045500,0.8695652
03:15:53.564358000,-3.9130435
03:15:53.564670500,-6.9565215
03:15:53.564983000,-10.8695650
03:15:53.565295500,-14.3478260
03:15:53.565608000,-17.8260860
03:15:53.565920500,-19.5652180
03:15:53.566233000,-22.6086960
03:15:53.566545500,-24.7826080
03:15:53.566858000,-26.0869560
03:15:53.567170500,-27.3913040
03:15:53.567483000,-28.6956520
03:15:53.567795500,-29.5652180
03:15:53.568108000,-31.7391300
03:15:53.568420500,-33.9130400
03:15:53.568733000,-35.6521720
03:15:53.569045500,-36.5217400
03:15:53.569358000,-36.9565200
03:15:53.569670500,-36.0869560
03:15:53.569983000,-34.7826080
03:15:53.570295500,-32.1739120
03:15:53.570608000,-31.7391300
03:15:53.570920500,-27.8260860
03:15:53.571233000,-24.7826080
03:15:53.571545500,-22.6086960
03:15:53.571858000,-20.4347820
03:15:53.572170500,-19.1304340
03:15:53.572483000,-16.5217380
03:15:53.572795500,-14.3478260
03:15:53.573108000,-10.8695650
03:15:53.573420500,-7.8260870
03:15:53.573733000,-4.7826085
03:15:53.574045500,-1.3043479
03:15:53.574358000,2.6086957
03:15:53.574670500,6.9565215
03:15:53.574983000,10.4347830
03:15:53.575295500,13.4782600
03:15:53.575608000,16.5217380
03:15:53.575920500,18.6956520
03:15:53.576233000,21.3043460
03:15:53.576545500,23.0434800
03:15:53.576858000,25.2173900
03:15:53.577170500,25.6521720
03:15:53.577483000,26.9565200
03:15:53.577795500,29.1304340
03:15:53.578108000,30.4347820
03:15:53.578420500,32.6086920
03:15:53.578733000,34.7826080
03:15:53.579045500,35.6521720
03:15:53.579358000,36.0869560
03:15:53.579670500,35.6521720
03:15:53.579983000,33.4782600
03:15:53.580295500,31.3043480
